Categoria;Tipo;Marca;Produto;SKU;Material/Tecnologia;Cor;Compatibilidade;Recursos;Imagens
Volantes;Volante;Audi;Audi B9 - Couro;1.02.A01.00019;Couro;Preto;Confirmar aplicação pelo SKU;Paddle Shift | Comando multifuncional | Couro;imagens/audi-audi-b9-couro-1.webp | imagens/audi-audi-b9-couro-2.webp
Volantes;Volante;Audi;Audi R8 - Carbono;1.02.A01.00003;Fibra de carbono;Preto / Carbono;Confirmar aplicação pelo SKU;Paddle Shift | Comando multifuncional | Fibra de carbono;imagens/audi-audi-r8-carbono-1.webp | imagens/audi-audi-r8-carbono-2.webp
Volantes;Volante;Audi;Audi R8 - Couro;1.02.A01.00005;Couro;Preto;Confirmar aplicação pelo SKU;Paddle Shift | Comando multifuncional | Couro;imagens/audi-audi-r8-couro-1.webp | imagens/audi-audi-r8-couro-2.webp
Volantes;Volante;BMW;BMW M3 — Alcântara e Carbono com Shift Light;3.02.B02.00125;Alcântara e fibra de carbono com Shift Light;Preto / Carbono / Alcântara;BMW M3 — confirmar formato e encaixe pelo SKU;Paddle Shift | Comando multifuncional | Alcântara | Fibra de carbono | Shift Light;imagens/bmw-bmw-alcantara-carbono-shift-light-1.webp
Volantes;Volante;BMW;BMW - Alcântara Shift Light;3.02.B02.00144;Alcântara com Shift Light;Preto / Alcântara;Confirmar aplicação pelo SKU;Paddle Shift | Comando multifuncional | Alcântara | Shift Light;imagens/bmw-bmw-alcantara-shift-light-1.webp
Volantes;Volante;BMW;BMW CS — Chassi G;1.02.B02.00065;Couro;Preto;BMW CS adaptado ao chassi G;Paddle Shift | Comando multifuncional | Couro | Base esportiva;imagens/extra-1-02-b02-00065-bmw-cs-24a-geracao-chassi-g.webp
Volantes;Volante;BMW;BMW E60 - Pré-Set/2005;1.02.B02.00058;Couro;Preto;Confirmar aplicação pelo SKU;Paddle Shift | Comando multifuncional | Couro;imagens/bmw-bmw-e60-pre-set-2005-1.webp | imagens/bmw-bmw-e60-pre-set-2005-2.webp
Volantes;Volante;BMW;BMW E60 - Pós-Set/2005;1.02.B02.00022;Couro;Preto;Confirmar aplicação pelo SKU;Paddle Shift | Comando multifuncional | Couro;imagens/bmw-bmw-e60-pos-set-2005-1.webp | imagens/bmw-bmw-e60-pos-set-2005-2.webp
Volantes;Volante;BMW;BMW M3 - Carbono;1.02.B02.00062;Fibra de carbono;Preto / Carbono;Confirmar aplicação pelo SKU;Paddle Shift | Comando multifuncional | Fibra de carbono;imagens/bmw-bmw-m3-carbono-1.webp | imagens/bmw-bmw-m3-carbono-2.webp
Volantes;Volante;BMW;BMW M3 — Couro com Aro Redondo;1.02.B02.00008;Couro;Preto;BMW M3 — aro redondo;Paddle Shift | Comando multifuncional | Couro | Aro redondo;imagens/bmw-bmw-m3-couro-1.webp | imagens/bmw-bmw-m3-couro-2.webp
Volantes;Volante;BMW;BMW M3 - Smart;1.02.B02.00002;Fibra de carbono com display LED;Preto / Carbono;Confirmar aplicação pelo SKU;Paddle Shift | Comando multifuncional | Fibra de carbono | Shift Light | Display digital;imagens/bmw-bmw-m3-smart-1.webp | imagens/bmw-bmw-m3-smart-2.webp
Volantes;Volante;BMW;BMW M3 — Couro com Base Reta;1.02.B02.00076;Couro;Preto;BMW M3 — base reta;Paddle Shift | Comando multifuncional | Couro | Base reta;imagens/extra-1-02-b02-00076-bmw-m3-15a-geracao-couro.webp | imagens/bmw-bmw-base-reta-em-couro-1.webp
Volantes;Volante;BMW;BMW M3 — Carbono e Couro com Shift Light (Base Reta);3.02.B02.00002;Fibra de carbono e couro perfurado com Shift Light;Preto / Carbono;BMW M3 — confirmar encaixe e comandos pelo SKU 3.02.B02.00002;Paddle Shift | Comando multifuncional | Fibra de carbono | Couro perfurado | Base reta | Shift Light | Display digital;imagens/bmw-m3-carbono-couro-shift-light-base-reta-3-02-b02-00002.webp
Volantes;Volante;BMW;BMW M5 - Carbono;1.02.B02.00061;Fibra de carbono;Preto / Carbono;Confirmar aplicação pelo SKU;Paddle Shift | Comando multifuncional | Fibra de carbono;imagens/bmw-bmw-m5-carbono-1.webp | imagens/bmw-bmw-m5-carbono-2.webp
